Id,Symbol,Name
1,AAPL,Apple Inc
2,MSFT,Microsoft Corporation
3,NVDA,NVIDIA Corporation
4,GOOG,Alphabet Inc.
5,GOOGL,Alphabet Inc.
6,AMZN,"Amazon.com, Inc."
7,META,"Meta Platforms, Inc."
8,TSLA,"Tesla, Inc."
9,AVGO,Broadcom Inc.
10,ASML,ASML Holding N.V.
11,COST,Costco Wholesale Corporation
12,AMD,"Advanced Micro Devices, Inc."
13,NFLX,"Netflix, Inc."
14,ADBE,Adobe Inc.
15,AZN,AstraZeneca PLC
16,QCOM,QUALCOMM Incorporated
17,PEP,"PepsiCo, Inc."
18,TMUS,"T-Mobile US, Inc."
19,AMAT,"Applied Materials, Inc."
20,LIN,Linde plc
